nid,label,predlnV,predlnM,lnV,lnm,vk,vb,mk,mb,tt
215687_5,FALSE,0.1463623,0.17358398,-0.040273927,0.057374835,0.1464,4.09,0.1736,4.332,12.7
216277_3,FALSE,0.15319824,0.18005371,0,0.000211455,0.1532,4.074,0.18,4.277,21.633333
216363_1,FALSE,0.14575195,0.1730957,0.15415065,0.14630692,0.1458,4.07,0.1731,4.277,9.366667
216940_0,FALSE,0.2619629,0.2902832,0.034486163,0.04775962,0.262,4.11,0.2903,4.438,12.366667
216978_0,TRUE,0.18005371,0.20666504,1.4632835,1.6362215,0.18,4.098,0.2067,4.363,11.666667
217022_3,FALSE,0.15454102,0.1817627,0.11211734,0.15417108,0.1545,4.082,0.1818,4.297,12.333333
217562_0,FALSE,0.2890625,0.3359375,0.11954515,0.1516059,0.289,4.066,0.336,4.44,11.933333
218349_2,FALSE,0.24145508,0.2626953,0.12169698,0.124926865,0.2415,4.11,0.2627,4.402,10.166667
100024_1,FALSE,0.14001465,0.16931152,0.3220835,0.23155393,0.14,4.094,0.1693,4.453,11.933333
100082_2,FALSE,0.17138672,0.19506836,0.043963112,0.15466937,0.1714,4.094,0.1951,4.465,11.666667
100113_4,FALSE,0.15661621,0.18286133,0.11054191,0.20596828,0.1566,4.074,0.1829,4.28,12.833333
100141_0,FALSE,0.18078613,0.20483398,0.40112674,0.4925964,0.1808,4.07,0.2048,4.277,12.366667
100259_3,FALSE,0.14575195,0.17407227,-0.016529283,0.016429849,0.1458,4.09,0.1741,4.316,12.366667
100472_0,FALSE,0.25805664,0.27905273,0.058268853,0.1645356,0.258,4.043,0.279,4.21,11.666667
100621_3,FALSE,0.17114258,0.19714355,-0.23017758,-0.49781847,0.1711,4.1,0.1971,4.406,12.233334
100656_0,FALSE,0.15478516,0.1817627,0,-0.099654146,0.1548,4.082,0.1818,4.3,12.233334
100803_0,FALSE,0.13391113,0.1628418,0.11778303,0.18455507,0.1339,4.06,0.1628,4.242,12.466666
100858_0,FALSE,0.19421387,0.21655273,0.053244516,-0.03280482,0.1942,4.1,0.2166,4.418,11.9
100949_0,FALSE,0.16931152,0.19506836,-0.12323261,-0.11968841,0.1693,4.09,0.1951,4.45,12.233334
100965_13,FALSE,0.13806152,0.16442871,-0.031548385,-0.010024739,0.1381,4,0.1644,4.133,11.2
101236_8,FALSE,0.14196777,0.16955566,-0.032789852,-0.10112982,0.142,4.074,0.1696,4.285,11.933333
101694_0,FALSE,0.20739746,0.22937012,-0.16705407,-0.25993708,0.2074,4.094,0.2294,4.45,19.933332
101861_2,FALSE,0.15283203,0.18029785,-0.034486163,-0.13564567,0.1528,4.094,0.1803,4.34,12.966666
102279_0,FALSE,0.15649414,0.18139648,-0.03125254,-0.003242977,0.1565,4.066,0.1814,4.266,12.5
102341_1,FALSE,0.17114258,0.19592285,-0.018349122,0.028159227,0.1711,4.07,0.1959,4.273,13.066667
102394_10,FALSE,0.17468262,0.1986084,-0.18419243,-0.044889104,0.1747,4.082,0.1986,4.297,10.933333
102646_1,FALSE,0.14831543,0.17700195,-0.044951387,-0.002478689,0.1483,4.098,0.177,4.453,12.166667
102775_4,FALSE,0.13623047,0.16589355,-0.06273834,-0.017167645,0.1362,4.1,0.1659,4.37,12.833333
102872_0,FALSE,0.15332031,0.18139648,-0.070951715,-0.030289227,0.1533,4.098,0.1814,4.35,11.333333
103022_1,FALSE,0.13842773,0.1685791,-0.13786979,-0.023553697,0.1384,4.098,0.1686,4.36,13.533334
103236_0,FALSE,0.1496582,0.17626953,-0.051735673,0.000507941,0.1497,4.066,0.1763,4.258,12.733334
103273_0,FALSE,0.1538086,0.18115234,-0.30110508,-0.5623126,0.1538,4.082,0.1812,4.305,10.033334
103436_1,FALSE,0.14660645,0.17333984,0.15996468,0.29055348,0.1466,4.05,0.1733,4.227,11
103637_0,FALSE,0.14294434,0.17199707,-0.23389637,-0.2133324,0.143,4.1,0.172,4.42,12.3
104186_2,FALSE,0.1381836,0.16699219,-0.16034262,-0.18269859,0.1382,4.082,0.167,4.305,12.166667
104271_0,FALSE,0.14868164,0.17529297,-0.43790033,-0.52274597,0.1487,4.082,0.1753,4.31,12.133333
104334_3,FALSE,0.17651367,0.1998291,0.048452415,0.02879705,0.1765,4.074,0.1998,4.285,12.766666
105055_2,FALSE,0.23205566,0.2529297,0.22314355,0.12473873,0.232,4.105,0.253,4.363,11.633333
105195_3,FALSE,0.15881348,0.18530273,0.21772346,0.48102167,0.1588,4.09,0.1853,4.324,11.4
106277_3,FALSE,0.14819336,0.17443848,0.25910875,0.1681241,0.1482,4.08,0.1744,4.29,12.166667
106282_0,FALSE,0.1586914,0.18566895,-0.1455076,-0.13499792,0.1587,4.094,0.1857,4.34,11.9
106933_2,FALSE,0.13708496,0.16589355,0.10697213,0.1034016,0.1371,4.086,0.1659,4.316,12.466666
107213_1,FALSE,0.16699219,0.1907959,0.15415065,0.117863245,0.167,4.04,0.1908,4.207,9.833333
107919_1,FALSE,0.24035645,0.26123047,-0.2559334,-0.24831125,0.2404,4.117,0.2612,4.45,12.033334
107974_2,FALSE,0.14172363,0.17077637,0,0.08183675,0.1417,4.094,0.1708,4.355,12.133333
108162_1,FALSE,0.16955566,0.19433594,-0.12419039,-0.20649055,0.1696,4.105,0.1943,4.41,8.833333
107644_0,FALSE,0.15393066,0.17907715,0.29965824,0.34660956,0.1539,4.08,0.1791,4.293,13.766666
112017_1,TRUE,0.18811035,0.21154785,0.3411708,0.5766865,0.1881,4.09,0.2115,4.46,16.9
100209_0,FALSE,0.22766113,0.24865723,-0.18430373,-0.17722416,0.2277,4.105,0.2487,4.383,10.833333
100803_2,FALSE,0.1381836,0.16625977,-0.07534943,-0.034964178,0.1382,4.07,0.1663,4.273,12.466666
100977_0,FALSE,0.13537598,0.16381836,-0.29213643,-0.33864135,0.1354,4.06,0.1638,4.242,10.766666
105165_2,FALSE,0.1607666,0.18737793,0.11625981,0.13060726,0.1608,4.082,0.1874,4.305,13.266666
101334_0,FALSE,0.17858887,0.20336914,0.029852934,0.069829404,0.1786,4.09,0.2034,4.332,10.6
101731_3,FALSE,0.14587402,0.17456055,-0.05556988,-0.036173988,0.1459,4.098,0.1746,4.45,13.3
102069_1,FALSE,0.14160156,0.17041016,0.02325686,-0.07511442,0.1416,4.098,0.1704,4.453,13
102517_2,FALSE,0.1965332,0.21948242,0.07350245,0.29023266,0.1965,4.094,0.2195,4.34,11.9
103930_2,FALSE,0.15820312,0.1850586,-0.02409758,0.1794233,0.1582,4.094,0.185,4.453,12.133333
105617_7,FALSE,0.17358398,0.19873047,0.20972054,0.2553402,0.1736,4.09,0.1987,4.324,12.366667
107895_0,FALSE,0.1887207,0.21105957,0.57104445,0.45776993,0.1887,4.06,0.211,4.246,12.333333
108090_0,FALSE,0.1998291,0.2232666,0.2780201,0.1364374,0.1998,4.094,0.2233,4.332,11.9
129909_0,FALSE,0.14025879,0.16955566,-0.057819556,-0.045751218,0.1403,4.098,0.1696,4.348,12.033334
106282_3,FALSE,0.15490723,0.18017578,-0.18526705,-0.25863314,0.1549,4.105,0.1802,4.402,11.9
119602_9,FALSE,0.16040039,0.18579102,0.12260229,-0.14472276,0.1604,4.086,0.1858,4.457,17.5
207073_0,TRUE,0.2133789,0.23486328,1.1829194,1.4597999,0.2134,4.09,0.2349,4.477,9.333333
102689_1,FALSE,0.14709473,0.17480469,-0.2972515,-0.34613857,0.1471,4.1,0.1748,4.36,10.433333
104038_0,FALSE,0.1484375,0.17687988,0.12136085,0.20514697,0.1484,4.1,0.1769,4.434,11.9
106277_2,FALSE,0.14575195,0.17419434,-0.17979313,-0.07727956,0.1458,4.1,0.1742,4.387,12.166667
102405_10,FALSE,0.18286133,0.20703125,-0.18058395,-0.20055422,0.1829,4.062,0.207,4.254,11.133333
100113_1,FALSE,0.13659668,0.16540527,-0.12838115,0.08410813,0.1366,4.082,0.1654,4.305,12.833333
100334_0,FALSE,0.15429688,0.17993164,0.04725284,0.07734391,0.1543,4.074,0.1799,4.277,11.666667
101097_2,FALSE,0.16564941,0.19116211,0.3197704,0.29911706,0.1656,4.09,0.1912,4.324,12.766666
101315_3,FALSE,0.13708496,0.16552734,-0.40546507,-0.3965371,0.1371,4.06,0.1655,4.242,12.1
102069_3,FALSE,0.16479492,0.19116211,0.10961973,0.25126112,0.1648,4.082,0.1912,4.316,13
102132_0,FALSE,0.18371582,0.20935059,0.1393555,0.16478594,0.1837,4.094,0.2094,4.375,12.833333
103289_0,FALSE,0.14477539,0.17199707,-0.007905176,-0.027808076,0.1448,4.043,0.172,4.207,12.333333
103649_2,FALSE,0.14746094,0.17407227,0.064538576,0.05989148,0.1475,4.07,0.1741,4.273,12.1
104289_0,FALSE,0.13720703,0.16699219,-0.08759803,-0.21649866,0.1372,4.1,0.167,4.38,11.233334
104691_3,FALSE,0.13366699,0.16271973,-0.089803904,-0.031260166,0.1337,4.06,0.1627,4.25,14.1
105982_0,FALSE,0.14746094,0.17468262,-0.13675892,-0.22816013,0.1475,4.074,0.1747,4.285,11.5
106113_0,FALSE,0.14355469,0.17126465,-0.039740343,-0.06871696,0.1436,4.1,0.1713,4.4,14.366667
106113_7,FALSE,0.14294434,0.17004395,-0.021053389,-0.03467516,0.143,4.074,0.17,4.285,14.366667
106113_9,FALSE,0.13549805,0.16479492,-0.33349162,-0.3496304,0.1355,4.04,0.1648,4.207,14.366667
106380_0,FALSE,0.14660645,0.1743164,0.08269173,0.037475947,0.1466,4.094,0.1743,4.34,11.2
107211_2,FALSE,0.17651367,0.20141602,0.09925496,0.06942133,0.1765,4.082,0.2014,4.305,11.733334
107305_0,FALSE,0.15307617,0.17907715,-0.18232158,-0.025988026,0.1531,4.07,0.1791,4.273,11.8
128574_2,TRUE,0.15283203,0.1796875,0.39049158,0.40051195,0.1528,4.086,0.1797,4.31,13.5
101861_0,FALSE,0.18835449,0.21166992,-0.025975484,-0.038639084,0.1884,4.086,0.2117,4.316,12.966666
104287_1,FALSE,0.13684082,0.16638184,-0.19574456,-0.26111138,0.1368,4.094,0.1664,4.34,12.6
104636_0,FALSE,0.17919922,0.20471191,0.22778393,0.12359402,0.1792,4.074,0.2047,4.297,12.166667
102606_0,FALSE,0.14318848,0.16992188,-0.028437922,0.020623414,0.1432,4.07,0.1699,4.27,13.533334
104691_1,FALSE,0.13439941,0.16333008,0.026811222,0.06298582,0.1344,4.066,0.1633,4.266,14.1
102606_4,FALSE,0.18444824,0.20910645,-0.014184646,-0.10413033,0.1844,4.1,0.2091,4.39,13.533334
100696_2,FALSE,0.16967773,0.19384766,0,-0.02952548,0.1697,4.07,0.1938,4.273,12.1
103168_0,FALSE,0.1385498,0.1673584,0.21680772,0.1992319,0.1385,4.09,0.1674,4.33,12.133333
102913_0,FALSE,0.14208984,0.1706543,-0.17504877,-0.17436732,0.1421,4.09,0.1707,4.316,11.1
104420_4,FALSE,0.13366699,0.16259766,-0.4253465,-0.41304702,0.1337,4.066,0.1626,4.266,11.533334
107177_0,FALSE,0.13806152,0.16687012,-0.14660347,-0.19410056,0.1381,4.086,0.1669,4.312,11.966666
107388_6,FALSE,0.1583252,0.18518066,-0.31112772,-0.3032919,0.1583,4.094,0.1852,4.445,9.166667
108095_11,FALSE,0.15148926,0.17883301,-0.16705407,-0.33028606,0.1515,4.098,0.1788,4.348,11.9
109671_4,TRUE,0.19189453,0.21606445,-0.051293306,-0.005698615,0.1919,4.07,0.2161,4.27,11.6
100656_2,FALSE,0.18371582,0.20812988,-0.096228026,-0.040010355,0.1837,4.098,0.2081,4.363,12.233334
100203_0,FALSE,0.14868164,0.17687988,0.4626235,0.14224513,0.1487,4.09,0.1769,4.465,11.633333
100334_1,FALSE,0.13830566,0.16601562,0.24469191,0.16671374,0.1383,4.05,0.166,4.227,11.666667
100965_4,FALSE,0.18286133,0.20751953,0.031498615,0.026203139,0.1829,4.094,0.2075,4.34,11.2
101122_7,FALSE,0.13708496,0.16308594,-1.5546297,-2.6023514,0.1371,3.262,0.1631,3.22,14.466666
102034_1,FALSE,0.17993164,0.20458984,-0.16524957,-0.19245824,0.1799,4.1,0.2046,4.45,10.833333
102609_4,FALSE,0.14941406,0.17687988,0.24191369,0.15444161,0.1494,4.094,0.1769,4.34,14.066667
103621_3,FALSE,0.15344238,0.17980957,0.15240696,0.25946802,0.1534,4.06,0.1798,4.246,13.533334
103786_2,FALSE,0.13366699,0.16210938,-0.18506506,-0.17495468,0.1337,4.07,0.1621,4.277,12.566667
103882_2,FALSE,0.13439941,0.16345215,-1.4358913,-1.7619444,0.1344,4.055,0.1635,4.242,12.8
105164_0,FALSE,0.17932129,0.20214844,0.24629682,0.16080882,0.1793,4.043,0.2021,4.21,11.266666
105195_0,FALSE,0.13598633,0.16577148,-0.010362788,0.027236592,0.136,4.1,0.1658,4.42,11.4
105877_1,FALSE,0.1394043,0.16845703,-0.070617564,0.12161676,0.1394,4.098,0.1685,4.36,11.933333
105914_13,FALSE,0.16235352,0.18823242,-0.17904821,-0.18123192,0.1624,4.082,0.1882,4.297,11.733334
106282_2,FALSE,0.14257812,0.17175293,0.091937505,-0.03678031,0.1426,4.1,0.1718,4.418,11.9
107967_0,FALSE,0.14025879,0.16809082,0.049761485,0.13740356,0.1403,4.09,0.1681,4.33,13.133333
107974_1,FALSE,0.1459961,0.1739502,-0.12306009,0.042016234,0.146,4.094,0.174,4.34,12.133333
207022_1,TRUE,0.14953613,0.17614746,-0.028710114,0.25739667,0.1495,4.086,0.1761,4.32,14.2
209510_7,TRUE,0.1385498,0.1661377,0.2667389,0.28221974,0.1385,4.02,0.1661,4.168,8.866667
101957_2,FALSE,0.13891602,0.16845703,-0.147636,-0.15413885,0.1389,4.105,0.1685,4.414,12.3
105275_0,FALSE,0.14562988,0.1739502,0.098440066,0.12214831,0.1456,4.094,0.174,4.45,10.733334
107035_0,FALSE,0.13684082,0.16564941,-0.41960958,-0.39248967,0.1368,4.098,0.1656,4.363,12.166667
102609_3,FALSE,0.13378906,0.16394043,0.15607937,0.2960429,0.1338,4.094,0.164,4.35,14.066667
102689_0,FALSE,0.14050293,0.16833496,0.11394424,0.16114321,0.1405,4.07,0.1683,4.277,10.433333
101236_4,FALSE,0.14086914,0.16894531,-0.11871634,-0.19255124,0.1409,4.074,0.169,4.28,11.933333
105197_0,FALSE,0.13842773,0.16723633,-0.17520407,-0.09607979,0.1384,4.066,0.1672,4.26,11.966666
108029_0,FALSE,0.13916016,0.16699219,0.018462008,0.07266352,0.1392,4.1,0.167,4.363,11.766666
100810_1,FALSE,0.15808105,0.18457031,0.16907634,0.05075072,0.1581,4.086,0.1846,4.457,11.066667
101236_6,FALSE,0.16894531,0.19433594,0.06899284,0.035118237,0.169,4.055,0.1943,4.234,11.933333
101315_0,FALSE,0.17236328,0.19677734,0.06155789,-0.10667383,0.1724,4.074,0.1968,4.277,12.1
101529_3,FALSE,0.16308594,0.18737793,0.28768212,0.3507088,0.1631,4.105,0.1874,4.42,12.866667
101694_1,FALSE,0.16296387,0.18579102,-0.18962088,-0.180607,0.163,3.84,0.1858,3.889,19.933332
101943_0,FALSE,0.15661621,0.18322754,-0.30538166,-0.23557602,0.1566,4.08,0.1832,4.297,12.333333
102293_4,FALSE,0.22277832,0.24536133,-0.13205972,-0.16244373,0.2228,4.082,0.2454,4.48,12.166667
102436_2,FALSE,0.13781738,0.16662598,-0.018553426,-0.10040005,0.1378,4.086,0.1666,4.32,10.766666
102913_5,FALSE,0.1451416,0.17407227,0.4179653,0.32768127,0.1451,4.105,0.1741,4.402,11.1
103067_0,FALSE,0.13916016,0.16711426,-0.083650045,-0.073398955,0.1392,4.062,0.1671,4.258,11.8
103353_0,FALSE,0.15710449,0.18395996,-0.06538275,0.017198823,0.1571,4.07,0.184,4.28,15.266666
103622_2,FALSE,0.14233398,0.1706543,0.2419765,0.2738998,0.1423,4.07,0.1707,4.28,8.566667
103649_0,FALSE,0.17382812,0.19848633,0.08104118,0.06635044,0.1738,4.1,0.1985,4.438,12.1
103771_0,FALSE,0.15539551,0.18200684,0.13657552,0.29393265,0.1554,4.11,0.182,4.438,12.9
104768_0,FALSE,0.13513184,0.16479492,-0.01818231,0.09114972,0.1351,4.094,0.1648,4.45,11.466666
105164_4,FALSE,0.16040039,0.18493652,-0.026491614,0.019698588,0.1604,4.027,0.1849,4.18,11.266666
106113_6,FALSE,0.13171387,0.16125488,0,0.071192406,0.1317,4.074,0.1613,4.285,14.366667
106282_1,FALSE,0.13708496,0.16662598,0.25534666,0.22653611,0.1371,4.105,0.1666,4.402,11.9
106658_0,FALSE,0.1574707,0.18481445,0.11841777,0.0695967,0.1575,4.094,0.1848,4.45,12.166667
107552_2,FALSE,0.13684082,0.16552734,0.007220246,-0.002305242,0.1368,4.086,0.1655,4.32,11.9
107624_0,FALSE,0.171875,0.19641113,0.19004358,0.17373775,0.1719,4.004,0.1964,4.14,11.3
107624_7,FALSE,0.14770508,0.17602539,0.11122563,0.2759067,0.1477,4.105,0.176,4.383,11.3
108091_0,FALSE,0.14099121,0.16967773,-0.13720112,-0.23632178,0.141,4.105,0.1697,4.39,11.666667
108095_3,FALSE,0.15332031,0.17993164,-0.41233802,-0.52940595,0.1533,4.055,0.1799,4.24,11.9
129992_0,TRUE,0.1508789,0.1772461,0.6739158,0.740761,0.1509,4.082,0.1772,4.297,10.2
208030_7,TRUE,0.16516113,0.19152832,0.97601,1.1048821,0.1652,4.094,0.1915,4.336,12.133333
211965_4,TRUE,0.1463623,0.17370605,1.194686,1.296433,0.1464,4.07,0.1737,4.273,13.033334
108161_2,FALSE,0.13574219,0.16394043,-0.08479652,-0.073908836,0.1357,4.04,0.164,4.2,11.9
107388_12,FALSE,0.1661377,0.19030762,0.22314355,0.20231357,0.1661,4.043,0.1903,4.21,9.166667
100934_1,FALSE,0.13671875,0.16540527,0.054658398,0.01859354,0.1367,4.098,0.1654,4.355,11.7
106438_11,FALSE,0.16369629,0.18969727,-0.008032188,0.005739992,0.1637,4.086,0.1897,4.31,11.733334
100040_0,FALSE,0.13757324,0.16625977,-0.016438752,0.02988776,0.1376,4.066,0.1663,4.273,12.1
100934_2,FALSE,0.13781738,0.16625977,0.03533931,0.08799298,0.1378,4.074,0.1663,4.277,11.7
101198_0,FALSE,0.14208984,0.17077637,-0.1593726,-0.11691598,0.1421,3.977,0.1708,4.09,11.7
101529_1,FALSE,0.1361084,0.16442871,-0.33040696,-0.33470687,0.1361,4.008,0.1644,4.15,12.866667
102224_0,FALSE,0.1352539,0.16442871,-0.23383884,-0.25874314,0.1353,4.082,0.1644,4.31,12.1
102913_6,FALSE,0.13745117,0.16589355,-0.20806442,-0.15967819,0.1375,4.09,0.1659,4.324,11.1
103112_0,FALSE,0.13891602,0.1673584,0.27584764,0.31339926,0.1389,4.062,0.1674,4.25,9.266666
104691_0,FALSE,0.1373291,0.16564941,0.005333362,0.020348953,0.1373,4.055,0.1656,4.24,14.1
107990_5,FALSE,0.13574219,0.16467285,-0.10265418,-0.094034806,0.1357,4.08,0.1647,4.297,12.366667
104956_0,FALSE,0.14868164,0.17504883,-0.27958485,-0.20027775,0.1487,4.094,0.175,4.344,12.933333
106277_8,FALSE,0.16772461,0.1932373,0.03125254,-0.03403545,0.1677,4.094,0.1932,4.33,12.166667
105197_10,FALSE,0.1430664,0.17028809,-0.14884561,-0.045411535,0.1431,4.086,0.1703,4.31,11.966666
100532_1,FALSE,0.14147949,0.1694336,-0.11860573,-0.018409165,0.1415,4.08,0.1694,4.293,13.6
102704_5,FALSE,0.14233398,0.1706543,0.27846545,0.31642026,0.1423,4.098,0.1707,4.36,11.733334
107211_0,FALSE,0.13549805,0.16430664,-0.006191967,0.121817194,0.1355,4.06,0.1643,4.246,11.733334
100641_0,FALSE,0.14575195,0.17297363,-0.21065208,-0.26658154,0.1458,4.07,0.173,4.277,12.266666
103440_2,FALSE,0.13256836,0.16210938,0,-0.049242377,0.1326,4.062,0.1621,4.258,13.833333
103741_1,FALSE,0.17480469,0.19958496,0.26028305,0.21082288,0.1748,4.094,0.1996,4.348,11.6
100082_1,FALSE,0.16723633,0.19445801,-0.27742556,-0.27495193,0.1672,4.1,0.1945,4.418,11.666667
100397_1,FALSE,0.1472168,0.17614746,-0.0926588,-0.009995178,0.1472,4.094,0.1761,4.45,8.6
100472_2,FALSE,0.14562988,0.17333984,0.12429772,0.092009276,0.1456,4.066,0.1733,4.266,11.666667
100622_1,FALSE,0.14196777,0.1694336,-0.036634136,-0.0977582,0.142,4.055,0.1694,4.242,10.633333
100828_0,FALSE,0.13916016,0.16796875,0.2165283,0.14173812,0.1392,4.07,0.168,4.273,12.466666
101213_0,FALSE,0.14587402,0.17382812,0.3011051,0.29893577,0.1459,4.094,0.1738,4.336,14.966666
101488_0,FALSE,0.13562012,0.16394043,-0.0427873,-0.00234766,0.1356,4.082,0.164,4.297,11.2
101694_2,FALSE,0.19592285,0.21789551,0.01801849,-0.10195108,0.1959,3.979,0.2179,4.09,19.933332
101787_1,FALSE,0.13391113,0.16357422,-0.15415066,-0.4063429,0.1339,4.086,0.1636,4.316,12.266666
101889_0,FALSE,0.14257812,0.17089844,-2.0163205,-3.5160768,0.1426,4.016,0.1709,4.164,12.366667
102110_2,FALSE,0.25561523,0.27563477,0.15942775,0.068985716,0.2556,4.117,0.2756,4.434,11.9
103438_0,FALSE,0.14123535,0.1694336,-0.047178585,-0.0414024,0.1412,4.055,0.1694,4.24,12.833333
103489_1,TRUE,0.13391113,0.1628418,0.5286434,0.5392359,0.1339,4.062,0.1628,4.258,12.333333
103649_3,FALSE,0.14770508,0.17407227,0.1079478,0.06392315,0.1477,4.035,0.1741,4.2,12.1
103918_1,FALSE,0.13659668,0.16601562,0.067064255,0.17190196,0.1366,4.098,0.166,4.36,13.433333
104726_8,TRUE,0.17297363,0.19641113,0.27077156,0.24132818,0.173,4.03,0.1964,4.188,12.1
105099_0,FALSE,0.1821289,0.2064209,-0.5935173,-0.76789457,0.1821,4.07,0.2064,4.31,12.733334
105232_1,FALSE,0.13745117,0.16687012,0.03974036,0.004892639,0.1375,4.098,0.1669,4.367,11.666667
105360_1,FALSE,0.20056152,0.22192383,0.10622226,0.115920894,0.2006,4.082,0.2219,4.3,11.666667
106113_5,FALSE,0.14746094,0.17419434,0.20261335,0.2651054,0.1475,4.016,0.1742,4.16,14.366667
106282_4,FALSE,0.13696289,0.16601562,0.12817518,0.09459382,0.137,4.094,0.166,4.457,11.9
114899_0,TRUE,0.15441895,0.18078613,0.66035736,0.671143,0.1544,4.09,0.1808,4.332,12.466666
100073_1,FALSE,0.14807129,0.17602539,-0.16164134,-0.2329865,0.1481,4.082,0.176,4.32,16.8
100259_0,FALSE,0.14904785,0.17675781,-0.07558269,-0.106665015,0.149,4.094,0.1768,4.34,12.366667
102405_4,FALSE,0.15014648,0.1772461,0.17327173,0.11036216,0.1501,4.082,0.1772,4.3,11.133333
102609_1,FALSE,0.14538574,0.17407227,-0.07114113,-0.09652049,0.1454,4.082,0.1741,4.316,14.066667
103902_0,FALSE,0.14147949,0.16992188,-0.05284247,-0.08252883,0.1415,4.07,0.1699,4.27,12.6
100449_0,FALSE,0.14221191,0.17114258,-0.022472855,-0.04754756,0.1422,4.094,0.1711,4.355,12.166667
104937_2,FALSE,0.18041992,0.20446777,0.28185117,0.19126579,0.1804,4.094,0.2045,4.332,11.433333
102721_0,FALSE,0.15344238,0.18066406,0.17662358,0.15185839,0.1534,4.09,0.1807,4.32,13.033334
106943_0,FALSE,0.21276855,0.23522949,-0.3643378,-0.27162254,0.2128,4.094,0.2352,4.348,16.5
105099_2,FALSE,0.28735352,0.33398438,-1.3917738,-2.0048406,0.2874,4.082,0.334,4.41,12.733334
108122_2,FALSE,0.13635254,0.1661377,-0.2876821,-0.18081467,0.1364,4.09,0.1661,4.33,12.133333
130103_0,TRUE,0.13708496,0.16687012,0.2613195,0.22926255,0.1371,4.086,0.1669,4.324,12.033334
100069_0,FALSE,0.2208252,0.24414062,-0.53024375,-0.6572775,0.2208,4.098,0.2441,4.37,11.833333
102436_3,FALSE,0.13305664,0.16271973,0.016597878,0.05290458,0.133,4.094,0.1627,4.332,10.766666
132809_1,TRUE,0.23962402,0.25976562,1.0040861,1.22009,0.2396,4.105,0.2598,4.39,12.133333
100053_4,FALSE,0.14782715,0.17199707,0.18781602,0.014397782,0.1478,3.754,0.172,3.775,12.833333
105437_0,FALSE,0.15698242,0.1842041,-0.13062018,-0.432019,0.157,4.1,0.1842,4.438,11.866667
101315_5,FALSE,0.15136719,0.17822266,-0.113328695,-0.042011216,0.1514,4.07,0.1782,4.273,10.5
208321_2,TRUE,0.16137695,0.18713379,1.3612583,1.2159663,0.1614,4.082,0.1871,4.31,12.333333
100184_1,FALSE,0.16137695,0.18713379,0.17154242,0.14857854,0.1614,4.066,0.1871,4.26,14.2
100398_0,FALSE,0.14758301,0.17492676,-0.21950059,-0.20783019,0.1476,4.055,0.1749,4.242,12.633333
100438_0,FALSE,0.15258789,0.17956543,0.028987564,-0.007741598,0.1526,4.098,0.1796,4.45,12.333333
100777_0,FALSE,0.17468262,0.19995117,0.04505269,-0.0901547,0.1747,4.09,0.2,4.332,9.733334
100965_1,FALSE,0.16662598,0.19018555,0.3708596,0.41734153,0.1666,3.973,0.1902,4.082,11.2
101236_1,FALSE,0.1550293,0.18188477,0.095310204,-0.021227805,0.155,4.08,0.1819,4.285,11.933333
101529_4,FALSE,0.16137695,0.1862793,0.14536582,0.19520916,0.1614,4.047,0.1863,4.22,12.866667
101874_1,FALSE,0.13562012,0.16381836,-0.062072437,-0.052227464,0.1356,4.074,0.1638,4.273,13.333333
102618_1,FALSE,0.15075684,0.17822266,-0.29450804,-0.24460728,0.1508,4.082,0.1782,4.305,12.2
102669_0,FALSE,0.2685547,0.2980957,0.17861098,0.2049512,0.2686,4.016,0.298,4.168,11.366667
103902_3,FALSE,0.14282227,0.17175293,-0.15201624,-0.13830638,0.1428,4.082,0.1718,4.31,15.1
104173_2,FALSE,0.2705078,0.29467773,0.59086835,0.49954146,0.2705,4.086,0.2947,4.35,12.166667
104662_1,FALSE,0.13464355,0.16394043,0.05515185,0.19840492,0.1346,4.086,0.164,4.32,13.3
106146_0,FALSE,0.15075684,0.17700195,-0.007782144,-0.019953657,0.1508,4.08,0.177,4.297,13.066667
106199_0,FALSE,0.14831543,0.1751709,0.4499169,0.15814157,0.1483,4.086,0.1752,4.316,11.833333
106761_0,FALSE,0.15234375,0.17858887,0.071973555,0.027837439,0.1523,4.05,0.1786,4.234,9.566667
107960_1,FALSE,0.1381836,0.16760254,0.08004274,0.14331375,0.1382,4.105,0.1676,4.4,12.433333
108011_0,FALSE,0.16101074,0.18774414,0.14660347,0.15404509,0.161,4.08,0.1877,4.297,11.666667
108095_13,FALSE,0.15356445,0.18029785,0.18457133,0.40968654,0.1536,4.08,0.1803,4.297,11.9
108161_1,FALSE,0.15112305,0.17651367,-0.23464736,-0.12320908,0.1511,3.963,0.1765,4.074,11.9
100053_2,FALSE,0.17602539,0.19812012,-0.53280455,-0.64354134,0.176,3.889,0.1981,3.95,12.833333
104937_0,FALSE,0.13427734,0.16259766,0.006779644,0.018271117,0.1343,4.035,0.1626,4.2,11.433333
113121_4,TRUE,0.13342285,0.16308594,0.5361772,0.85157853,0.1334,4.074,0.1631,4.285,8.966666
106460_1,FALSE,0.2680664,0.29541016,-0.29119706,-0.19252646,0.268,4.105,0.2954,4.457,8.4
100985_1,FALSE,0.14038086,0.16918945,-0.10834117,-0.011360922,0.1404,4.1,0.1692,4.37,12.366667
100079_0,FALSE,0.14331055,0.16918945,0,-0.023383087,0.1433,3.754,0.1692,3.78,12.633333
103649_1,FALSE,0.13879395,0.16699219,0.0852976,0.05793535,0.1388,4.055,0.167,4.234,12.1
